Time,Name,engName,pctChg,in_flow,super_in_flow,big_in_flow,mid_in_flow,sml_in_flow,mktCap
2025-05-26 10:40:00,3.0,HK & CHINA GAS,0.14,-10.49,0.0,-1.07,-0.35,-9.06,130.0
2025-05-26 10:40:00,6618.0,JD HEALTH,-0.85,-10.51,0.0,-3.99,-2.32,-4.2,131.0
2025-05-26 10:39:00,998.0,CITIC BANK,-1.33,-10.85,-6.8,0.17,-3.41,-0.82,371.0
2025-05-26 10:38:00,3328.0,BANKCOMM,0.28,-14.84,-8.85,-0.06,0.69,-6.61,530.0
2025-05-26 10:39:00,2097.0,MIXUE GROUP,-2.37,-17.28,-4.89,-2.78,-2.95,-6.65,196.0
2025-05-26 10:38:00,300.0,MIDEA GROUP,-0.6,-20.21,0.0,6.05,-2.95,-23.31,630.0
2025-05-26 10:39:00,1.0,CKH HOLDINGS,-0.67,-28.86,-18.98,-11.28,-1.43,2.82,172.0
2025-05-26 10:39:00,6160.0,BEIGENE,-0.69,-32.82,-20.58,-8.6,0.61,-4.26,223.0
2025-05-26 10:39:00,2333.0,GWMOTOR,-4.57,-47.36,-28.65,-11.15,3.69,-11.26,104.0
2025-05-26 10:39:00,2015.0,LI AUTO-W,-4.14,-60.27,1.72,-28.18,-28.89,-4.91,220.0
2025-05-26 10:38:00,3988.0,BANK OF CHINA,0.21,-62.94,68.36,40.86,-4.19,-167.97,1381.0
2025-05-26 10:38:00,939.0,CCB,0.28,-65.0,0.0,-20.89,-6.36,-37.74,1763.0
2025-05-26 10:38:00,5.0,HSBC HOLDINGS,-0.16,-68.61,-12.65,-14.4,-25.07,-16.48,1637.0
2025-05-26 10:39:00,175.0,GEELY AUTO,-6.4,-187.86,-35.29,-47.64,-86.64,-18.29,192.0
2025-05-26 10:38:00,1810.0,XIAOMI-W,-1.6,-398.55,-43.01,-80.13,-81.17,-194.23,1353.0
2025-05-26 10:38:00,700.0,TENCENT,-0.97,-457.17,-78.79,-19.65,-42.58,-316.15,4714.0
