Time,Name,engName,pctChg,in_flow,super_in_flow,big_in_flow,mid_in_flow,sml_in_flow,mktCap
2025-06-03 11:50:00,113.0,DICKSON CONCEPT,-0.29,-0.32,-0.32,0.0,-0.19,0.19,3.0
2025-06-03 11:46:00,376.0,YUNFENG FIN,0.0,-0.33,-0.26,0.03,-0.1,0.0,7.0
2025-06-03 11:53:00,6622.0,ZHAOKE OPHTH-B,3.47,-0.34,0.19,0.22,-1.21,0.46,2.0
2025-06-03 11:52:00,398.0,ORIENTAL WATCH,0.85,-0.34,0.0,-0.21,-0.07,-0.06,2.0
2025-06-03 11:48:00,2156.0,C&D PROPERTY,1.63,-0.34,-0.24,0.0,-0.06,-0.04,4.0
2025-06-03 11:48:00,710.0,BOE VARITRONIX,0.88,-0.34,0.0,0.0,-0.23,-0.11,5.0
2025-06-03 11:47:00,1108.0,TRIUMPH NEW EN,0.54,-0.34,-0.22,-0.0,-0.12,-0.01,2.0
2025-06-03 11:50:00,1521.0,FRONTAGE,-2.63,-0.35,0.0,0.0,0.0,-0.35,2.0
2025-06-03 11:55:00,6628.0,TRANSCENTA-B,-6.43,-0.36,-0.15,-0.09,-0.07,-0.04,1.0
2025-06-03 11:54:00,8349.0,GUIXIN GROUP,-1.2,-0.37,0.0,0.0,-0.25,-0.12,1.0
2025-06-03 11:46:00,81.0,CH OVS G OCEANS,-0.59,-0.38,1.19,0.18,-1.52,-0.23,6.0
2025-06-03 11:50:00,3650.0,KEEP,-0.4,-0.39,0.07,-0.58,-0.01,0.12,3.0
2025-06-03 11:48:00,62.0,TRANSPORT INT'L,0.45,-0.39,0.0,-0.22,-0.05,-0.12,5.0
2025-06-03 11:47:00,1709.0,DL HOLDINGS GP,1.95,-0.39,-0.27,-0.69,0.31,0.27,5.0
2025-06-03 11:50:00,6669.0,ACOTEC-B,-2.18,-0.46,-0.05,-0.06,-0.21,-0.14,2.0
