Time,Name,engName,pctChg,in_flow,super_in_flow,big_in_flow,mid_in_flow,sml_in_flow,mktCap
2025-05-28 14:49:00,2688.0,ENN ENERGY,1.54,-8.27,-13.45,9.65,7.68,-12.16,71.0
2025-05-28 14:56:00,1651.0,TSUGAMI CHINA,-3.46,-8.51,-2.41,-0.79,-0.88,-4.44,8.0
2025-05-28 14:56:00,297.0,SINOFERT,-1.49,-8.52,2.61,-2.5,-2.94,-5.7,9.0
2025-05-28 14:49:00,83.0,SINO LAND,-1.88,-8.69,-3.61,-3.54,-1.65,0.1,72.0
2025-05-28 14:54:00,9911.0,NEWBORNTOWN,-3.31,-9.07,0.0,0.04,-6.37,-2.75,13.0
2025-05-28 14:48:00,2313.0,SHENZHOU INTL,-0.53,-9.45,-1.32,3.08,-10.84,-0.38,85.0
2025-05-28 14:50:00,3808.0,SINOTRUK,2.82,-9.5,0.0,1.96,1.29,-12.75,54.0
2025-05-28 14:50:00,220.0,U-PRESID CHINA,0.19,-9.54,-1.08,0.02,-9.15,0.66,45.0
2025-05-28 14:56:00,9997.0,KANGJI MEDICAL,-1.14,-9.94,-7.58,1.45,1.66,-5.47,9.0
2025-05-28 14:51:00,9995.0,REMEGEN,-1.08,-10.34,-0.97,-11.82,-6.18,8.63,25.0
2025-05-28 14:49:00,1308.0,SITC,0.0,-10.88,-3.92,-0.48,-4.42,-2.06,65.0
2025-05-28 14:54:00,853.0,MICROPORT,-2.34,-11.01,-2.41,-6.64,-0.32,-1.64,12.0
2025-05-28 14:55:00,1133.0,HARBIN ELECTRIC,-4.52,-11.31,-6.8,-2.44,-1.26,-0.81,11.0
2025-05-28 14:53:00,1918.0,SUNAC,-1.45,-13.04,0.06,-5.1,-2.65,-5.34,15.0
2025-05-28 14:49:00,1772.0,GANFENGLITHIUM,-1.77,-13.23,-4.74,-5.18,-1.89,-1.43,38.0
2025-05-28 14:49:00,322.0,TINGYI,-0.59,-13.46,-1.64,-6.24,1.73,-7.31,76.0
2025-05-28 14:52:00,2228.0,XTALPI,-2.61,-13.56,-3.12,-6.1,-1.72,-2.61,18.0
2025-05-28 14:48:00,12.0,HENDERSON LAND,-0.82,-13.79,-12.06,6.98,-2.95,-5.76,117.0
2025-05-28 14:51:00,1208.0,MMG,-1.34,-15.16,-0.22,-2.14,-6.47,-6.33,36.0
2025-05-28 14:51:00,1877.0,JUNSHI BIO,1.46,-15.38,-7.15,-5.86,-0.63,-1.75,18.0
2025-05-28 14:55:00,6078.0,HYGEIA HEALTH,-3.14,-17.2,-13.43,-1.8,-1.37,-0.6,9.0
2025-05-28 14:52:00,772.0,CHINA LIT,-2.72,-17.3,-2.46,-12.21,-3.42,0.79,27.0
2025-05-28 14:52:00,425.0,MINTH GROUP,1.17,-17.42,-6.46,-14.07,-0.62,3.73,25.0
2025-05-28 14:52:00,6055.0,CTIHK,-3.47,-17.66,-1.88,-2.4,-9.74,-3.64,23.0
2025-05-28 14:53:00,2555.0,CHABAIDAO,-7.71,-18.29,-1.5,-8.23,-2.03,-6.52,14.0
2025-05-28 14:51:00,136.0,CHINA RUYI,-2.33,-19.62,-6.66,-8.32,-3.43,-1.2,33.0
2025-05-28 14:55:00,1428.0,BRIGHT SMART,-2.71,-20.07,5.48,-3.71,-7.74,-14.1,11.0
2025-05-28 14:48:00,836.0,CHINA RES POWER,-1.47,-20.11,9.07,0.82,-11.62,-18.38,104.0
2025-05-28 14:50:00,3759.0,PHARMARON,-2.87,-21.57,-6.76,-8.51,-3.44,-2.85,25.0
2025-05-28 14:54:00,6127.0,JOINN,-5.56,-21.76,-9.69,-5.97,-3.26,-2.83,8.0
2025-05-28 14:54:00,2858.0,YIXIN,-4.17,-22.24,-1.97,-2.7,-4.39,-13.18,12.0
2025-05-28 14:53:00,1316.0,NEXTEER,-0.35,-22.44,-2.8,-3.44,-5.23,-10.96,14.0
2025-05-28 14:48:00,3618.0,CQRC BANK,-2.01,-24.08,1.02,1.59,-3.17,-23.52,72.0
2025-05-28 14:48:00,902.0,HUANENG POWER,-1.81,-24.3,-8.55,-6.3,-4.97,-4.49,77.0
2025-05-28 14:53:00,2400.0,XD INC,-4.48,-24.56,-1.27,-9.87,-7.26,-6.16,18.0
2025-05-28 14:50:00,9880.0,UBTECH ROBOTICS,-3.25,-27.01,-19.93,-21.21,-0.98,15.11,38.0
2025-05-28 14:50:00,1318.0,MAO GEPING,-0.88,-31.4,-6.72,0.2,-11.07,-13.81,55.0
2025-05-28 14:50:00,2268.0,WUXI XDC,-4.26,-34.02,-18.88,-18.0,-0.81,3.67,45.0
